"","species","n"
"1686","Atherinopsis californiensis",1
"1687","Atractoscion nobilis",1
"1688","Auchenoceros punctatus",1
"1689","Aulotrachichthys novaezelandicus",1
"1690","Bairdiella armata",1
"1691","Bairdiella ronchus",1
"1692","Bajacalifornia megalops",1
"1693","Bathophilus brevis",1
"1694","Bathophilus longipinnis",1
"1695","Bathophilus nigerrimus",1
"1696","Bathyclupea gracilis",1
"1697","Bathycongrus odontostomus",1
"1698","Bathygobius cyclopterus",1
"1699","Bathygobius krefftii",1
"1700","Bathylaco macrophthalmus",1
"1701","Bathylagoides nigrigenys",1
"1702","Bathymicrops regis",1
"1703","Bathypera ovoida",1
"1704","Bathyprion danae",1
"1705","Bathyraja abyssicola",1
"1706","Bathyraja richardsoni",1
"1707","Bathytroctes oligolepis",1
"1708","Bathyuroconger vicinus",1
"1709","Batrachomoeus dubius",1
"1710","Benthalbella linguidens",1
"1711","Benthalbella macropinna",1
"1712","Benthenchelys cartieri",1
"1713","Berardius arnuxii",1
"1714","Bhanotia fasciolata",1
"1715","Blenniella paula",1
"1716","Bodianus albotaeniatus",1
"1717","Bodianus vulpinus",1
"1718","Bolbometopon muricatum",1
"1719","Bolinichthys indicus",1
"1720","Bolinichthys nikolayi",1
"1721","Bollmannia ocellata",1
"1722","Borostomias mononema",1
"1723","Borostomias pacificus",1
"1724","Bothus mancus",1
"1725","Bovichtus variegatus",1
"1726","Brachaluteres jacksonianus",1
"1727","Brachionichthys australis",1
"1728","Brachionichthys hirsutus",1
"1729","Brachyistius frenatus",1
"1730","Brachypterois serrulata",1
"1731","Brama australis",1
"1732","Brephostoma carpenteri",1
"1733","Brochiraja aenigma",1
"1734","Bryozoichthys marjorius",1
"1735","Caesio cuning",1
"1736","Callionymus japonicus",1
"1737","Callogobius bauchotae",1
"1738","Callogobius maculipinnis",1
"1739","Callogobius mucosus",1
"1740","Callogobius sclateri",1
"1741","Calloplesiops altivelis",1
"1742","Cantherhines sandwichiensis",1
"1743","Cantherhines verecundus",1
"1744","Canthigaster callisterna",1
"1745","Canthigaster janthinoptera",1
"1746","Canthigaster rivulata",1
"1747","Canthigaster valentini",1
"1748","Caracanthus unipinna",1
"1749","Carangoides gymnostethus",1
"1750","Caranx sexfasciatus",1
"1751","Carcharhinus amblyrhynchos",1
"1752","Carcharhinus galapagensis",1
"1753","Carcharias taurus",1
"1754","Careproctus atakamensis",1
"1755","Careproctus colletti",1
"1756","Caristius japonicus",1
"1757","Caulolatilus princeps",1
"1758","Cebidichthys violaceus",1
"1759","Centridermichthys gulosus",1
"1760","Centriscus scutatus",1
"1761","Centroberyx australis",1
"1762","Centroberyx lineatus",1
"1763","Centrobranchus brevirostris",1
"1764","Centrodraco nakaboi",1
"1765","Centrophorus tessellatus",1
"1766","Centropomus mexicanus",1
"1767","Centropyge loricula",1
"1768","Centroscyllium nigrum",1
"1769","Cephalopholis boenak",1
"1770","Cephaloscyllium umbratile",1
"1771","Cercamia cladara",1
"1772","Cerorhinca monocerata",1
"1773","Chaetodon flavirostris",1
"1774","Chaetodon mertensii",1
"1775","Chaetodon multicinctus",1
"1776","Champsocephalus esox",1
"1777","Champsodon fimbriatus",1
"1778","Cheilodactylus variegatus",1
"1779","Cheilodipterus artus",1
"1780","Cheilopogon heterurus",1
"1781","Cheilopogon katoptron",1
"1782","Cheilopogon melanurus",1
"1783","Cheilopogon unicolor",1
"1784","Chesnonia verrucosa",1
"1785","Chiasmodon subniger",1
"1786","Chiloconger dentatus",1
"1787","Chirophryne xenolophus",1
"1788","Chitonotus pugetensis",1
"1789","Chlidonias niger",1
"1790","Chlopsis bicollaris",1
"1791","Chlorophthalmus zvezdae",1
"1792","Choerodon jordani",1
"1793","Chrionema chryseres",1
"1794","Chromis atripectoralis",1
"1795","Chromis atripes",1
"1796","Chromis flavomaculata",1
"1797","Chromis hanui",1
"1798","Chromis iomelas",1
"1799","Chromis ovatiformes",1
"1800","Chromis ternatensis",1
"1801","Chromis verater",1
"1802","Chrysiptera glauca",1
"1803","Chrysiptera talboti",1
"1804","Chrysiptera unimaculata",1
"1805","Chrysophrys auratus",1
"1806","Cirrhilabrus punctatus",1
"1807","Cirrhitichthys falco",1
"1808","Cirrhitus pinnulatus",1
"1809","Cirripectes vanderbilti",1
"1810","Citharichthys sordidus",1
"1811","Cleidopus gloriamaris",1
"1812","Clinocottus analis",1
"1813","Clinocottus globiceps",1
"1814","Cnemidocarpa bifurcata",1
"1815","Cnemidocarpa platybranchia",1
"1816","Coelophrys brevipes",1
"1817","Coelorinchus cingulatus",1
"1818","Coelorinchus horribilis",1
"1819","Coelorinchus multifasciatus",1
"1820","Coelorinchus obscuratus",1
"1821","Coelorinchus parallelus",1
"1822","Conger oligoporus",1
"1823","Conger triporiceps",1
"1824","Congiopodus coriaceus",1
"1825","Congriscus maldivensis",1
"1826","Congrogadus winterbottomi",1
"1827","Conocara fiolenti",1
"1828","Coregonus artedi",1
"1829","Corynascidia suhmi",1
"1830","Coryphaenoides filifer",1
"1831","Corythoichthys flavofasciatus",1
"1832","Cottus asper",1
"1833","Culeolus anonymus",1
"1834","Culeolus easteri",1
"1835","Culeolus murrayi",1
"1836","Culeolus pyramidalis",1
"1837","Cymolutes praetextatus",1
"1838","Cynoscion acoupa",1
"1839","Cypho purpurascens",1
"1840","Cyprinocirrhites polyactis",1
"1841","Dactyloptena orientalis",1
"1842","Danacetichthys galathenus",1
"1843","Danaphryne nigrifilis",1
"1844","Dascyllus auripinnis",1
"1845","Dascyllus trimaculatus",1
"1846","Davidijordania poecilimon",1
"1847","Decapterus maruadsi",1
"1848","Decapterus scombrinus",1
"1849","Decapterus tabl",1
"1850","Dendrochirus brachypterus",1
"1851","Desmodema polystictum",1
"1852","Diaphus bertelseni",1
"1853","Diaphus chrysorhynchus",1
"1854","Diaphus confusus",1
"1855","Diaphus drachmanni",1
"1856","Diaphus holti",1
"1857","Diaphus impostor",1
"1858","Diaphus kapalae",1
"1859","Diaphus suborbitalis",1
"1860","Diaphus thiollierei",1
"1861","Diaphus umbroculus",1
"1862","Diaphus wisneri",1
"1863","Dicarpa simplex",1
"1864","Dicrolene nigra",1
"1865","Dinematichthys iluocoeteoides",1
"1866","Diplophos orientalis",1
"1867","Dipturus confusus",1
"1868","Dipturus whitleyi",1
"1869","Diretmoides pauciradiatus",1
"1870","Discopyge tschudii",1
"1871","Doliolina (Doliolinetta) intermedia",1
"1872","Doliolum nationalis",1
"1873","Doryrhamphus excisus",1
"1874","Drepane longimana",1
"1875","Drepane punctata",1
"1876","Dysalotus alcocki",1
"1877","Dysalotus oligoscolus",1
"1878","Echidna unicolor",1
"1879","Ecsenius caeruliventris",1
"1880","Ecsenius fourmanoiri",1
"1881","Ectreposebastes imus",1
"1882","Egretta garzetta",1
"1883","Eleginops maclovinus",1
"1884","Eleotris sandwicensis",1
"1885","Elops saurus",1
"1886","Embiotoca jacksoni",1
"1887","Enchelycore ramosa",1
"1888","Enchelyurus ater",1
"1889","Engraulis japonicus",1
"1890","Engyprosopon annulatus",1
"1891","Enigmapercis acutirostris",1
"1892","Enneapterygius atrogulare",1
"1893","Enneapterygius kermadecensis",1
"1894","Enneapterygius rubicauda",1
"1895","Enneapterygius triserialis",1
"1896","Entomacrodus decussatus",1
"1897","Eopsetta jordani",1
"1898","Epigonus heracleus",1
"1899","Epigonus parini",1
"1900","Epinephelus hexagonatus",1
"1901","Epinephelus howlandi",1
"1902","Epinephelus macrospilos",1
"1903","Epinephelus merra",1
"1904","Epinephelus polyphekadion",1
"1905","Eptatretus carlhubbsi",1
"1906","Eptatretus cirrhatus",1
"1907","Eptatretus sheni",1
"1908","Eptatretus stoutii",1
"1909","Eptatretus yangi",1
"1910","Etmopterus bigelowi",1
"1911","Etmopterus villosus",1
"1912","Eustomias acinosus",1
"1913","Eustomias longiramis",1
"1914","Eustomias macronema",1
"1915","Eustomias pacificus",1
"1916","Eustomias perplexus",1
"1917","Eustomias simplex",1
"1918","Eustomias vitiazi",1
"1919","Euthynnus lineatus",1
"1920","Evermannella ahlstromi",1
"1921","Eviota albolineata",1
"1922","Eviota infulata",1
"1923","Eviota lacrimae",1
"1924","Eviota melasma",1
"1925","Eviota smaragdus",1
"1926","Eviota sparsa",1
"1927","Exerpes asper",1
"1928","Exocoetus gibbosus",1
"1929","Facciolella castlei",1
"1930","Fenestraja sibogae",1
"1931","Festucalex cinctus",1
"1932","Fowleria vaiulae",1
"1933","Fusigobius duospilus",1
"1934","Fusigobius maximus",1
"1935","Fusigobius neophytus",1
"1936","Gadella molokaiensis",1
"1937","Gaidropsarus parini",1
"1938","Galeichthys peruvianus",1
"1939","Gazza minuta",1
"1940","Genyatremus dovii",1
"1941","Gerres argyreus",1
"1942","Gibbonsia elegans",1
"1943","Gigantactis perlatus",1
"1944","Glossanodon struhsakeri",1
"1945","Gnathophis andriashevi",1
"1946","Gobiomorus maculatus",1
"1947","Gorgasia thamani",1
"1948","Grahamina nigripenne",1
"1949","Grammatostomias dentatus",1
"1950","Gunnellichthys pleurotaenia",1
"1951","Gymnothorax buroensis",1
"1952","Gymnothorax fimbriatus",1
"1953","Gymnothorax fuscomaculatus",1
"1954","Gymnothorax javanicus",1
"1955","Gymnothorax melatremus",1
"1956","Halicampus grayi",1
"1957","Halichoeres biocellatus",1
"1958","Halichoeres ornatissimus",1
"1959","Halimochirurgus alcocki",1
"1960","Halocynthia aurantium",1
"1961","Halosaurus radiatus",1
"1962","Helcogramma capidata",1
"1963","Hemibagrus nemurus",1
"1964","Hemigymnus fasciatus",1
"1965","Hemiramphus convexus",1
"1966","Heniochus acuminatus",1
"1967","Heniochus singularius",1
"1968","Heteroscymnoides marleyi",1
"1969","Hexagrammos octogrammus",1
"1970","Himantolophus groenlandicus",1
"1971","Hime microps",1
"1972","Hippocampus histrix",1
"1973","Hippocampus trimaculatus",1
"1974","Histiopterus typus",1
"1975","Histrio histrio",1
"1976","Hollardia goslinei",1
"1977","Holtbyrnia innesi",1
"1978","Holtbyrnia latifrons",1
"1979","Howella zina",1
"1980","Hydroprogne caspia",1
"1981","Hygophum atratum",1
"1982","Hymenocephalus grimaldii",1
"1983","Hyperoodon planifrons",1
"1984","Hyperprosopon argenteum",1
"1985","Hyperprosopon ellipticum",1
"1986","Hyporhamphus dussumieri",1
"1987","Hypsurus caryi",1
"1988","Icelinus quadriseriatus",1
"1989","Istiompax indica",1
"1990","Japonolaeops dentatus",1
"1991","Kathetostoma canaster",1
"1992","Kathetostoma laeve",1
"1993","Kaupichthys diodontus",1
"1994","Kuhlia marginata",1
"1995","Kurtus gulliveri",1
"1996","Kyphosus sectatrix",1
"1997","Labrisomus dendriticus",1
"1998","Labrisomus multiporosus",1
"1999","Labrisomus xanti",1
"2000","Lachneratus phasmaticus",1
"2001","Lactophrys trigonus",1
"2002","Laemonema longipes",1
"2003","Laemonema robustum",1
"2004","Laemonema yuvto",1
"2005","Lagocephalus lunaris",1
"2006","Lamna ditropis",1
"2007","Lampanyctus turneri",1
"2008","Lampris guttatus",1
"2009","Larus thayeri",1
"2010","Leiognathus equulus",1
"2011","Lepidion guentheri",1
"2012","Lepidoperca pulchella",1
"2013","Leptocottus armatus",1
"2014","Leptonotus norae",1
"2015","Leptostomias haplocaulus",1
"2016","Leptostomias robustus",1
"2017","Lestidiops sphyraenopsis",1
"2018","Lestidium prolixum",1
"2019","Lestrolepis japonica",1
"2020","Lestrolepis pofi",1
"2021","Linophryne andersoni",1
"2022","Linophryne indica",1
"2023","Liopropoma susumi",1
"2024","Liparis rutteri",1
"2025","Liza macrolepis",1
"2026","Lobotes pacificus",1
"2027","Lobotes surinamensis",1
"2028","Lophiodes mutilus",1
"2029","Lophius litulon",1
"2030","Lophotus capellei",1
"2031","Lophotus lacepede",1
"2032","Lutjanus johnii",1
"2033","Lutjanus kasmira",1
"2034","Lutjanus russellii",1
"2035","Lycenchelys hippopotamus",1
"2036","Lycodes beringi",1
"2037","Lycodes concolor",1
"2038","Lycodes cortezianus",1
"2039","Lyopsetta exilis",1
"2040","Macolor macularis",1
"2041","Macroparalepis affinis",1
"2042","Macroparalepis macrogeneion",1
"2043","Macropharyngodon meleagris",1
"2044","Macrourus whitsoni",1
"2045","Macruronus magellanicus",1
"2046","Malacocephalus boretzi",1
"2047","Malthopsis jordani",1
"2048","Marukawichthys ambulator",1
"2049","Marukawichthys pacificus",1
"2050","Mataeocephalus acipenserinus",1
"2051","Maulisia microlepis",1
"2052","Maurolicus imperatorius",1
"2053","Megalodicopia hians",1
"2054","Melamphaes janae",1
"2055","Melamphaes longivelis",1
"2056","Melamphaes simus",1
"2057","Melanostigma bathium",1
"2058","Melanostomias macrophotus",1
"2059","Melanostomias niger",1
"2060","Melanostomias tentaculatus",1
"2061","Melichthys niger",1
"2062","Metcalfina hexagona",1
"2063","Metelectrona herwigi",1
"2064","Micrometrus aurora",1
"2065","Microstoma australis",1
"2066","Minous monodactylus",1
"2067","Mirognathus normani",1
"2068","Monacanthus chinensis",1
"2069","Monomitopus conjugator",1
"2070","Moringua edwardsi",1
"2071","Moringua microchir",1
"2072","Mugil cephalus",1
"2073","Mulloidichthys mimicus",1
"2074","Muraena lentiginosa",1
"2075","Mustelus canis",1
"2076","Mustelus widodoi",1
"2077","Myctophum brachygnathum",1
"2078","Myliobatis californica",1
"2079","Myripristis amaena",1
"2080","Myripristis berndti",1
"2081","Myripristis randalli",1
"2082","Nannobrachium nigrum",1
"2083","Nannobrachium phyllisae",1
"2084","Nansenia antarctica",1
"2085","Nansenia ardesiaca",1
"2086","Nansenia pelagica",1
"2087","Naso tuberosus",1
"2088","Nectoliparis pelagicus",1
"2089","Nelusetta ayraud",1
"2090","Nemadactylus douglasii",1
"2091","Nemadactylus gayi",1
"2092","Neoclinus blanchardi",1
"2093","Neoglyphidodon nigroris",1
"2094","Neonesthes microcephalus",1
"2095","Neoscopelus microchir",1
"2096","Neotrygon kuhlii",1
"2097","Nesofregetta fuliginosa",1
"2098","Nezumia bairdii",1
"2099","Nezumia convergens",1
"2100","Nezumia kensmithi",1
"2101","Nezumia spinosa",1
"2102","Nezumia tinro",1
"2103","Norfolkia brachylepis",1
"2104","Norfolkia thomasi",1
"2105","Normanichthys crockeri",1
"2106","Notoclinus compressus",1
"2107","Notolabrus celidotus",1
"2108","Notolabrus inscriptus",1
"2109","Notomuraenobathys microcephalus",1
"2110","Notoraja sapphira",1
"2111","Notorynchus cepedianus",1
"2112","Notoscopelus caudispinosus",1
"2113","Notothenia coriiceps",1
"2114","Oceanodroma microsoma",1
"2115","Odonus niger",1
"2116","Oikopleura (Vexillaria) cophocerca",1
"2117","Oligotrema lyra",1
"2118","Olisthops cyanomelas",1
"2119","Oncorhynchus gorbuscha",1
"2120","Oncorhynchus keta",1
"2121","Oncorhynchus kisutch",1
"2122","Oncorhynchus nerka",1
"2123","Oneirodes eschrichtii",1
"2124","Oneirodes haplonema",1
"2125","Oneirodes kreffti",1
"2126","Onigocia lacrimalis",1
"2127","Ophiodon elongatus",1
"2128","Ophioscion vermicularis",1
"2129","Opistognathus jacksoniensis",1
"2130","Opistognathus punctatus",1
"2131","Osmerus mordax",1
"2132","Ostorhinchus angustatus",1
"2133","Ostorhinchus aureus",1
"2134","Ostorhinchus fasciatus",1
"2135","Ostorhinchus nigrofasciatus",1
"2136","Ostracion cubicus",1
"2137","Otolithes ruber",1
"2138","Oxycheilinus bimaculatus",1
"2139","Oxycheilinus orientalis",1
"2140","Oxyurichthys cornutus",1
"2141","Pachystomias microdon",1
"2142","Parablennius laticlavius",1
"2143","Parabothus amaokai",1
"2144","Parabothus chlorospilus",1
"2145","Paracirrhites hemistictus",1
"2146","Paraclinus altivelis",1
"2147","Paraclinus monophthalmus",1
"2148","Paraliparis entochloris",1
"2149","Paralonchurus dumerilii",1
"2150","Parapercis binivirgata",1
"2151","Parapercis gilliesii",1
"2152","Parapercis hexophtalma",1
"2153","Parapercis nigrodorsalis",1
"2154","Paraplagusia bilineata",1
"2155","Parascorpaena mcadamsi",1
"2156","Paraulopus filamentosus",1
"2157","Paraulopus longianalis",1
"2158","Paraxenisthmus cerberusi",1
"2159","Pareugyrioides galatheae",1
"2160","Parexocoetus mento",1
"2161","Parioglossus marginalis",1
"2162","Parmaturus macmillani",1
"2163","Parophrys vetulus",1
"2164","Parupeneus porphyreus",1
"2165","Parupeneus trifasciatus",1
"2166","Parvilux boschmai",1
"2167","Patagonotothen tessellata",1
"2168","Pelates quadrilineatus",1
"2169","Pelotretis flavilatus",1
"2170","Peltorhamphus latus",1
"2171","Pentaceropsis recurvirostris",1
"2172","Pentapodus aureofasciatus",1
"2173","Pervagor janthinosoma",1
"2174","Petromyzon marinus",1
"2175","Phaethon lepturus",1
"2176","Phalacrocorax pelagicus",1
"2177","Phenacoscorpius adenensis",1
"2178","Phenacoscorpius eschmeyeri",1
"2179","Philypnodon grandiceps",1
"2180","Phoca vitulina",1
"2181","Phocoena dioptrica",1
"2182","Pholis ornata",1
"2183","Photonectes caerulescens",1
"2184","Photonectes mirabilis",1
"2185","Phoxocampus belcheri",1
"2186","Phyllichthys punctatus",1
"2187","Physiculus luminosa",1
"2188","Physiculus rhodopinnis",1
"2189","Physiculus sazonovi",1
"2190","Plagiogeneion geminatum",1
"2191","Plagiogeneion rubiginosum",1
"2192","Plagiotremus tapeinosoma",1
"2193","Platycephalus indicus",1
"2194","Platytroctes apus",1
"2195","Plectorhinchus picus",1
"2196","Plectranthias kelloggi",1
"2197","Plectranthias longimanus",1
"2198","Plectranthias maculicauda",1
"2199","Plectranthias nanus",1
"2200","Plectroglyphidodon johnstonianus",1
"2201","Plectroglyphidodon lacrymatus",1
"2202","Plectrypops lima",1
"2203","Plesiops polydactylus",1
"2204","Poecilopsetta beanii",1
"2205","Polycarpa zeteta",1
"2206","Polyipnus nuttingi",1
"2207","Polyipnus unispinus",1
"2208","Polymixia salagomeziensis",1
"2209","Pomacentrus lepidogenys",1
"2210","Pomacentrus pavo",1
"2211","Pomacentrus philippinus",1
"2212","Pomacentrus vaiuli",1
"2213","Pomachromis richardsoni",1
"2214","Pomadasys maculatus",1
"2215","Porichthys ephippiatus",1
"2216","Porichthys margaritatus",1
"2217","Poromitra rugosa",1
"2218","Priacanthus nasca",1
"2219","Priolepis cincta",1
"2220","Prionotus stephanophrys",1
"2221","Pristiapogon exostigma",1
"2222","Pristipomoides flavipinnis",1
"2223","Pristipomoides typus",1
"2224","Promyllantor adenensis",1
"2225","Protoholozoa pedunculata",1
"2226","Psenes maculatus",1
"2227","Psenopsis anomala",1
"2228","Psettichthys melanostictus",1
"2229","Pseudocheilinus evanidus",1
"2230","Pseudocheilinus octotaenia",1
"2231","Pseudochromis jamesi",1
"2232","Pseudochromis luteus",1
"2233","Pseudochromis tapeinosoma",1
"2234","Pseudolabrus miles",1
"2235","Pseudoplesiops rosae",1
"2236","Pseudoscopelus altipinnis",1
"2237","Pseudoscopelus lavenbergi",1
"2238","Pseudoscopelus sagamianus",1
"2239","Pseudoscopelus scutatus",1
"2240","Psychrolutes sigalutes",1
"2241","Pterocaesio trilineata",1
"2242","Pterodroma externa",1
"2243","Pterodroma neglecta",1
"2244","Pterodroma sandwichensis",1
"2245","Pterodroma solandri",1
"2246","Pterois antennata",1
"2247","Pterois radiata",1
"2248","Pterois volitans",1
"2249","Puffinus lherminieri",1
"2250","Pungitius sinensis",1
"2251","Pygoplites diacanthus",1
"2252","Pygoscelis antarctica",1
"2253","Pyramodon ventralis",1
"2254","Pyrosomella verticillata",1
"2255","Raja rhina",1
"2256","Retropinna semoni",1
"2257","Rexea prometheoides",1
"2258","Rhacochilus vacca",1
"2259","Rhadinesthes decimus",1
"2260","Rhinobatos productus",1
"2261","Rhopalaea abdominalis",1
"2262","Rhynchactis leptonema",1
"2263","Rhynchocymba nystromi",1
"2264","Rhynchohyalus natalensis",1
"2265","Ritteriella picteti",1
"2266","Rosenblattichthys volucris",1
"2267","Saccogaster hawaii",1
"2268","Salpa aspera",1
"2269","Samariscus sunieri",1
"2270","Sardinella aurita",1
"2271","Sargocentron caudimaculatum",1
"2272","Scalicus orientalis",1
"2273","Scarus dubius",1
"2274","Scarus rubroviolaceus",1
"2275","Schultzidia johnstonensis",1
"2276","Scobinichthys granulatus",1
"2277","Scolecenchelys chilensis",1
"2278","Scolecenchelys profundorum",1
"2279","Scomber australasicus",1
"2280","Scomberomorus concolor",1
"2281","Scopelengys clarkei",1
"2282","Scopelosaurus hubbsi",1
"2283","Scorpaena colorata",1
"2284","Scorpaena guttata",1
"2285","Scorpaena onaria",1
"2286","Scorpaenopsis eschmeyeri",1
"2287","Scorpaenopsis ramaraoi",1
"2288","Scymnodalatias oligodon",1
"2289","Sebastes alutus",1
"2290","Sebastes atrovirens",1
"2291","Sebastes carnatus",1
"2292","Sebastes chlorostictus",1
"2293","Sebastes chrysomelas",1
"2294","Sebastes constellatus",1
"2295","Sebastes elongatus",1
"2296","Sebastes flammeus",1
"2297","Sebastes flavidus",1
"2298","Sebastes mystinus",1
"2299","Sebastes nebulosus",1
"2300","Sebastes proriger",1
"2301","Sebastes rastrelliger",1
"2302","Sebastes rosaceus",1
"2303","Sebastes saxicola",1
"2304","Sebastes serriceps",1
"2305","Sebastiscus marmoratus",1
"2306","Sebastolobus alascanus",1
"2307","Sectator ocyurus",1
"2308","Secutor ruconius",1
"2309","Seriola rivoliana",1
"2310","Serranocirrhitus latus",1
"2311","Serrivomer beanii",1
"2312","Setipinna tenuifilis",1
"2313","Sicyopterus lagocephalus",1
"2314","Sillago japonica",1
"2315","Soestia zonaria",1
"2316","Solegnathus hardwickii",1
"2317","Somniosus rostratus",1
"2318","Sparisoma viride",1
"2319","Sphyraenops bairdianus",1
"2320","Spratelloides delicatulus",1
"2321","Springeratus xanthosoma",1
"2322","Squatina australis",1
"2323","Stegastes lividus",1
"2324","Stellifer minor",1
"2325","Stemonosudis elegans",1
"2326","Stercorarius antarcticus",1
"2327","Sterna bengalensis",1
"2328","Sterna hirundo",1
"2329","Sternoptyx pseudobscura",1
"2330","Stethojulis bandanensis",1
"2331","Stigmatopora nigra",1
"2332","Stomias colubrinus",1
"2333","Sula leucogaster",1
"2334","Suttonia lineata",1
"2335","Symphysanodon typus",1
"2336","Symplegma reptans",1
"2337","Synagrops japonicus",1
"2338","Synaphobranchus brevidorsalis",1
"2339","Syngnathoides biaculeatus",1
"2340","Synodus dermatogenys",1
"2341","Synodus evermanni",1
"2342","Synodus hoshinonis",1
"2343","Synodus lobeli",1
"2344","Synodus scituliceps",1
"2345","Taaningichthys minimus",1
"2346","Taeniura lymma",1
"2347","Takifugu rubripes",1
"2348","Talismania antillarum",1
"2349","Talismania bussingi",1
"2350","Taractes asper",1
"2351","Taractichthys steindachneri",1
"2352","Tetragonurus atlanticus",1
"2353","Tetronarce fairchildi",1
"2354","Tetronarce macneilli",1
"2355","Tetronarce tremens",1
"2356","Tetrosomus gibbosus",1
"2357","Thalassoma ballieui",1
"2358","Thalassoma lucasanum",1
"2359","Thalassoma quinquevittatum",1
"2360","Thaleichthys pacificus",1
"2361","Thaumatichthys axeli",1
"2362","Thetys vagina",1
"2363","Thryssa hamiltonii",1
"2364","Thyrsitoides marleyi",1
"2365","Thysanophrys chiltonae",1
"2366","Tilodon sexfasciatus",1
"2367","Tomicodon humeralis",1
"2368","Torquigener flavimaculosus",1
"2369","Trachinotus falcatus",1
"2370","Trachipterus fukuzakii",1
"2371","Trachonurus sentipellis",1
"2372","Trachurus symmetricus",1
"2373","Trematomus lepidorhinus",1
"2374","Triacanthus nieuhofii",1
"2375","Triakis semifasciata",1
"2376","Trichiurus lepturus",1
"2377","Trinectes maculatus",1
"2378","Triphoturus mexicanus",1
"2379","Ucla xenogrammus",1
"2380","Uncisudis advena",1
"2381","Upeneus mouthami",1
"2382","Upeneus sulphureus",1
"2383","Uropterygius fuscoguttatus",1
"2384","Valamugil buchanani",1
"2385","Ventrifossa johnboborum",1
"2386","Ventrifossa obtusirostris",1
"2387","Vespicula trachinoides",1
"2388","Wetmorella nigropinnata",1
"2389","Xanthichthys mento",1
"2390","Xanthichthys ringens",1
"2391","Xeneretmus leiops",1
"2392","Xeneretmus triacanthus",1
"2393","Xenobrama microlepis",1
"2394","Zanclorhynchus spinifer",1
"2395","Zebrasoma rostratum",1
"2396","Zebrasoma velifer",1
"2397","Zenion japonicum",1
